Product ID,Product Name,Description,Price ID,Retail Price
prod_Pk9ByAvqV4ZLT6,Alisha Solid Women's Cycling Shorts,"Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Navy, Red, Navy,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabr",price_1OuetQJDw3WYrLo5CsnzwQV0,10
prod_Pk9Bb06hP0uUyd,FabHomeDecor Fabric Double Sofa Bed,"FabHomeDecor Fabric Double Sofa Bed (Finish Color - Leatherette Black Mechanism Type - Pull Out) Price: Rs. 22,646 • Fine deep seating experience • Save Space with the all new click clack Sofa Bed • E",price_1OuetRJDw3WYrLo5sfRnxWVJ,291
prod_Pk9BxQljmy3hSI,AW Bellies,"Key Features of AW Bellies Sandals Wedges Heel Casuals,AW Bellies Price: Rs. 499 Material: Synthetic Lifestyle: Casual Heel Type: Wedge Warranty Type: Manufacturer Product Warranty against manufacturi",price_1OuetSJDw3WYrLo5v3faHlTo,10
prod_Pk9B0VFmTnJhbl,Alisha Solid Women's Cycling Shorts,"Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Black, Red,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 2 Fabric Co",price_1OuetSJDw3WYrLo5n6lRjGfA,8
prod_Pk9BwEh84amdWJ,Sicons All Purpose Arnica Dog Shampoo,Specifications of Sicons All Purpose Arnica Dog Shampoo (500 ml) General Pet Type Dog Brand Sicons Quantity 500 ml Model Number SH.DF-14 Type All Purpose Fragrance Arnica Form Factor Liquid In the Box,price_1OuetTJDw3WYrLo5Sjvppmfx,3
prod_Pk9BhsqeoWblkj,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,"Key Features of Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish Crystal  paper weight Product Dimensions :   8cm x  8cm x 5cm A beautiful product Material: Crystal,Eternal Gandhi",price_1OuetUJDw3WYrLo5AHgKSBA2,5
prod_Pk9BEV7iQYa7Eq,Alisha Solid Women's Cycling Shorts,"Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Navy, Red, White, Red,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of ",price_1OuetVJDw3WYrLo50hSK8abT,12
prod_Pk9B4JbEILe1D8,FabHomeDecor Fabric Double Sofa Bed,"FabHomeDecor Fabric Double Sofa Bed (Finish Color - Brown Mechanism Type - Pull Out) Price: Rs. 22,646 • Fine deep seating experience • Save Space with the all new click clack Sofa Bed • Easy to fold ",price_1OuetWJDw3WYrLo5p0KqPjS6,291
prod_Pk9BPc3KUjpnDQ,"dilli bazaaar Bellies, Corporate Casuals, Casuals","Key Features of dilli bazaaar Bellies, Corporate Casuals, Casuals Material: Fabric Occasion: Ethnic, Casual, Party, Formal Color: Pink Heel Height: 0,Specifications of dilli bazaaar Bellies, Corporate",price_1OuetXJDw3WYrLo5rBtx2cR4,8
prod_Pk9BN4s7t3Kwzm,Alisha Solid Women's Cycling Shorts,"Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra White, Black, Red, Black,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack ",price_1OuetXJDw3WYrLo5iJO8FZLC,12
